Major Percentage Aboslute_Number
AAS 0.07692307692307693 1
AH 0.17142857142857143 12
AMU 0.09873949579831932 188
ANT 0.14689265536723164 26
APM 0.2 16
ASL 0.13114754098360656 8
BBC 0.12214611872146118 107
BCD 0.12272727272727273 27
BCS 0.08823529411764706 24
BEB 0.044444444444444446 4
BIG 0.2857142857142857 4
BIO 0.12737041719342604 403
BMB 0.12571428571428572 22
BME 0.09712722298221614 71
BMG 0.14130434782608695 65
BNS 0.13001605136436598 81
BSB 0.16666666666666666 16
CGS 0.07407407407407407 2
CHE 0.12085769980506822 62
CHM 0.09309309309309309 62
CL 0.07692307692307693 1
CLS 0.05555555555555555 2
CMP 0.13333333333333333 10
CSA 0.2 3
CSC 0.14397321428571427 129
CSM 0.21739130434782608 5
EBS 0.11538461538461539 12
ECE 0.15463917525773196 15
ECO 0.12712623097582812 142
EE 0.1394658753709199 47
ENG 0.11341632088520055 82
ES 0.18532818532818532 48
ESP 0.15492957746478872 11
EVS 0.0875 14
FEC 0.07782101167315175 20
FMS 0.06741573033707865 6
FR 0.0875 7
FS 0.17777777777777778 8
GEO 0.1111111111111111 3
GER 0.07407407407407407 2
GSC 0.5 1
GSM 0.22857142857142856 24
HBS 0.2222222222222222 2
HD 0.25 2
HIS 0.13059701492537312 70
HLS 0.1323529411764706 18
IDE 0.09944751381215469 18
IPA 0.08064516129032258 5
IRL 0.06870229007633588 9
JCM 0.11333333333333333 17
JPN 0.1 7
LIN 0.15447154471544716 19
ME 0.09722222222222222 63
MEG 0.18421052631578946 7
MEI 0.07633587786259542 10
MEV 0.11764705882352941 6
MST 0.1 5
MTH 0.12919463087248323 77
MUS 0.11594202898550725 24
OPT 0.13333333333333333 22
PAS 0.12017167381974249 28
PHL 0.07518796992481203 10
PHY 0.11326860841423948 70
PSC 0.12842105263157894 122
PSY 0.11700468018720749 150
RLS 0.16666666666666666 9
RUS 0.0625 1
SA 0.08064516129032258 5
SOC 0.4 2
SP 0.1323529411764706 9
STT 0.18518518518518517 5
TH 0.15384615384615385 2
UNC 0.13739734680985471 435
WS 0.375 3
