State Percentage Aboslute
. 7.296137339055794 17
AB 50.0 1
AE 15.0 3
AK 2.7777777777777777 1
AP 7.142857142857142 1
AZ 6.25 4
BC 11.11111111111111 1
BO 100.0 1
CA 8.24295010845987 38
CN 9.090909090909092 1
CO 7.017543859649122 8
CT 11.82033096926714 50
DC 4.651162790697675 2
DE 14.285714285714285 5
EN 11.11111111111111 1
ET 100.0 1
FL 8.629441624365482 17
GA 9.230769230769232 6
GM 25.0 1
HI 2.3255813953488373 1
HK 10.0 3
IA 9.433962264150944 5
ID 16.666666666666664 3
IL 8.637873754152823 26
IN 6.451612903225806 4
JM 9.090909090909092 1
KS 3.225806451612903 1
KY 3.0303030303030303 1
MA 9.375 87
MD 8.100558659217876 29
ME 9.0 9
MI 4.591836734693878 9
MN 9.375 6
MO 7.462686567164178 5
MT 7.6923076923076925 1
MX 14.285714285714285 1
MY 25.0 1
NC 4.225352112676056 3
NH 3.816793893129771 5
NJ 9.217877094972067 66
NM 7.6923076923076925 2
NV 13.636363636363635 3
NY 9.620808523973675 614
OF 5.231866825208085 44
OH 9.893048128342247 37
OK 6.896551724137931 2
ON 3.8461538461538463 1
OR 9.433962264150944 10
PA 7.2992700729927 60
PH 25.0 1
PO 50.0 1
PR 3.7037037037037033 1
RI 9.58904109589041 7
SC 5.0 2
SK 6.25 1
TH 50.0 1
TN 1.7241379310344827 1
TX 4.850746268656716 13
TZ 5.387205387205387 16
UT 13.333333333333334 2
VA 10.429447852760736 17
VT 9.70873786407767 10
WA 9.219858156028367 13
WI 2.7027027027027026 2
